index,zinnen,woorden
0,in deze wet en de daarop berustende bepalingen wordt verstaan onder:,"['in', ' ', 'deze', ' ', 'wet', ' ', 'en', ' ', 'de', ' ', 'daarop', ' ', 'berustende', ' ', 'bepalingen', ' ', 'wordt', ' ', 'verstaan', ' ', 'onder', ':']"
1,in deze wet en de daarop rustende bepalingen wordt mede verstaan onder:,"['in', ' ', 'deze', ' ', 'wet', ' ', 'en', ' ', 'de', ' ', 'daarop', ' ', 'rustende', ' ', 'bepalingen', ' ', 'wordt', ' ', 'mede', ' ', 'verstaan', ' ', 'onder', ':']"
2,onder de in ,"['onder', ' ', 'de', ' ', 'in', ' ']"
3,"deze wet, met uitzondering van de ","['deze', ' ', 'wet', ', ', 'met', ' ', 'uitzondering', ' ', 'van', ' ', 'de', ' ']"
4,"deze wet is niet van toepassing op handelingen die onderwerp zijn van het gemeenschappelijk visserijbeleid, bedoeld in artikel 38 van het verdrag betreffende de werking van de europese unie, voor zover zij plaatsvinden in de exclusieve economische zone.","['deze', ' ', 'wet', ' ', 'is', ' ', 'niet', ' ', 'van', ' ', 'toepassing', ' ', 'op', ' ', 'handelingen', ' ', 'die', ' ', 'onderwerp', ' ', 'zijn', ' ', 'van', ' ', 'het', ' ', 'gemeenschappelijk', ' ', 'visserijbeleid', ', ', 'bedoeld', ' ', 'in', ' ', 'artikel', '\xa0', '38', ' ', 'van', ' ', 'het', ' ', 'verdrag', ' ', 'betreffende', ' ', 'de', ' ', 'werking', ' ', 'van', ' ', 'de', ' ', 'europese', ' ', 'unie', ', ', 'voor', ' ', 'zover', ' ', 'zij', ' ', 'plaatsvinden', ' ', 'in', ' ', 'de', ' ', 'exclusieve', ' ', 'economische', ' ', 'zone', '.']"
5,"ingeval gedeputeerde staten ingevolge het bepaalde bij of krachtens deze wet bevoegd zijn tot het nemen van een besluit met betrekking tot handelingen, zijn, tenzij anders bepaald, bevoegd gedeputeerde staten van de provincie waar de handeling wordt verricht.","['ingeval', ' ', 'gedeputeerde', ' ', 'staten', ' ', 'ingevolge', ' ', 'het', ' ', 'bepaalde', ' ', 'bij', ' ', 'of', ' ', 'krachtens', ' ', 'deze', ' ', 'wet', ' ', 'bevoegd', ' ', 'zijn', ' ', 'tot', ' ', 'het', ' ', 'nemen', ' ', 'van', ' ', 'een', ' ', 'besluit', ' ', 'met', ' ', 'betrekking', ' ', 'tot', ' ', 'handelingen', ', ', 'zijn', ', ', 'tenzij', ' ', 'anders', ' ', 'bepaald', ', ', 'bevoegd', ' ', 'gedeputeerde', ' ', 'staten', ' ', 'van', ' ', 'de', ' ', 'provincie', ' ', 'waar', ' ', 'de', ' ', 'handeling', ' ', 'wordt', ' ', 'verricht', '.']"
6,"ingeval provinciale staten ingevolge het bepaalde bij of krachtens deze wet bevoegd zijn tot het nemen van een besluit met betrekking tot handelingen, zijn, tenzij anders bepaald, bevoegd provinciale staten van de provincie waar de handelingen worden verricht.","['ingeval', ' ', 'provinciale', ' ', 'staten', ' ', 'ingevolge', ' ', 'het', ' ', 'bepaalde', ' ', 'bij', ' ', 'of', ' ', 'krachtens', ' ', 'deze', ' ', 'wet', ' ', 'bevoegd', ' ', 'zijn', ' ', 'tot', ' ', 'het', ' ', 'nemen', ' ', 'van', ' ', 'een', ' ', 'besluit', ' ', 'met', ' ', 'betrekking', ' ', 'tot', ' ', 'handelingen', ', ', 'zijn', ', ', 'tenzij', ' ', 'anders', ' ', 'bepaald', ', ', 'bevoegd', ' ', 'provinciale', ' ', 'staten', ' ', 'van', ' ', 'de', ' ', 'provincie', ' ', 'waar', ' ', 'de', ' ', 'handelingen', ' ', 'worden', ' ', 'verricht', '.']"
7,"ingeval handelingen nadelige gevolgen hebben voor een geheel of gedeeltelijk in een andere provincie gelegen natura 2000-gebied of bijzonder nationaal natuurgebied, dan wel voor vogels als bedoeld in ","['ingeval', ' ', 'handelingen', ' ', 'nadelige', ' ', 'gevolgen', ' ', 'hebben', ' ', 'voor', ' ', 'een', ' ', 'geheel', ' ', 'of', ' ', 'gedeeltelijk', ' ', 'in', ' ', 'een', ' ', 'andere', ' ', 'provincie', ' ', 'gelegen', ' ', 'natura', ' ', '2000', '-', 'gebied', ' ', 'of', ' ', 'bijzonder', ' ', 'nationaal', ' ', 'natuurgebied', ', ', 'dan', ' ', 'wel', ' ', 'voor', ' ', 'vogels', ' ', 'als', ' ', 'bedoeld', ' ', 'in', ' ']"
8,"ingeval een handeling mede wordt verricht in een andere provincie, wordt een besluit als bedoeld in het eerste lid genomen door gedeputeerde staten van de provincie waar de handeling in hoofdzaak wordt verricht, in overeenstemming met gedeputeerde staten van die andere provincie.","['ingeval', ' ', 'een', ' ', 'handeling', ' ', 'mede', ' ', 'wordt', ' ', 'verricht', ' ', 'in', ' ', 'een', ' ', 'andere', ' ', 'provincie', ', ', 'wordt', ' ', 'een', ' ', 'besluit', ' ', 'als', ' ', 'bedoeld', ' ', 'in', ' ', 'het', ' ', 'eerste', ' ', 'lid', ' ', 'genomen', ' ', 'door', ' ', 'gedeputeerde', ' ', 'staten', ' ', 'van', ' ', 'de', ' ', 'provincie', ' ', 'waar', ' ', 'de', ' ', 'handeling', ' ', 'in', ' ', 'hoofdzaak', ' ', 'wordt', ' ', 'verricht', ', ', 'in', ' ', 'overeenstemming', ' ', 'met', ' ', 'gedeputeerde', ' ', 'staten', ' ', 'van', ' ', 'die', ' ', 'andere', ' ', 'provincie', '.']"
9,"bevoegdheden, verantwoordelijkheden en verplichtingen van gedeputeerde staten of provinciale staten als bedoeld in de ","['bevoegdheden', ', ', 'verantwoordelijkheden', ' ', 'en', ' ', 'verplichtingen', ' ', 'van', ' ', 'gedeputeerde', ' ', 'staten', ' ', 'of', ' ', 'provinciale', ' ', 'staten', ' ', 'als', ' ', 'bedoeld', ' ', 'in', ' ', 'de', ' ']"
